代號,證券商名稱,地址
1020,合庫,台北市大安區忠孝東路四段325號2樓
1021,合庫-台中,台中市西區民權路91號6樓
1022,合庫-台南,台南市北區成功路48號3樓
1023,合庫-高雄,高雄市大勇路97號5樓
1024,合庫-嘉義,嘉義市國華街279號2樓
1025,合庫-基隆,基隆市仁二路255號3樓
1028,合庫-彰化,彰化縣彰化市民生路279號5樓
1029,合庫-鳳松,高雄市鳳山區鳳松路3號
102A,合庫-竹塹,新竹市東區東門街60號5樓
102C,合庫-自強,台北市中山區南京東路2段85、87號3樓
102E,合庫-東桃園,桃園縣桃園市中華路12號3樓
1030,土銀,台北市延平南路八十一號
1031,土銀-台中,台中市自由路2段1號4樓
1032,土銀-台南,台南市中正路26號4樓
1033,土銀-高雄,高雄市大勇路131號
1034,土銀-嘉義,嘉義市中山路309號3樓
1035,土銀-新竹,新竹市中央路1號4、5樓
1036,土銀-玉里,花蓮縣玉里鎮中山路二段五十五號一、二樓
1037,土銀-花蓮,花蓮縣花蓮市中山路356號3樓
1038,土銀-和平,台北市和平東路3段15號3樓部分
1039,土銀-士林,台北市中山北路五段六八九號三樓
103A,土銀-建國,高雄市建國一路458號3樓
103B,土銀-彰化,彰化市光復路九十八號六樓
103C,土銀-白河,台南縣白河鎮三民路三九五號三樓
103F,土銀-南港,台北市南港區南港路1段364號5樓
1040,臺銀證券,台北市重慶南路1段58號4樓、5樓部分
1041,臺銀-鳳山,鳳山市曹公路20號3樓
1042,臺銀-臺南,台南市中正路240號4樓
1043,臺銀-民權,台北市承德路2段239號3樓
1045,臺銀-新竹,新竹市林森路29號5樓
104A,臺銀-臺中,台中市民權路95號3樓
104C,臺銀-高雄,高雄市苓雅區成功一路261號3樓
104D,臺銀-金山,台北市金山南路2段189號3樓
1110,台灣企銀,台北市塔城街30號4樓
1111,台灣企銀-台中,台中市中正路二二四號二、三樓
1112,台灣企銀-台南,台南市中正路一八五號四樓
1113,台灣企銀-九如,高雄市三民區九如二路255號3樓
1114,台灣企銀-嘉義,嘉義市光華路一三二號
1115,台灣企銀-太平,台中縣太平市中興里二鄰中興東路二十七號
1116,台灣企銀-屏東,屏東市漢口街七號
1117,台灣企銀-竹北,新竹縣竹北市斗崙里縣政九路一二八號三樓
1118,台灣企銀-豐原,台中市豐原區豐西里三豐路一號四樓
1119,台灣企銀-岡山,高雄縣岡山鎮岡山路412號4樓
111A,台灣企銀-民雄,嘉義縣民雄鄉建國路三段八十三號三樓
111B,台灣企銀-建成,台北市南京西路七十六號二樓
111C,台灣企銀-三民,高雄市六合二路1號2樓
111E,臺灣企銀-桃園,桃園市中華路99號3樓
111F,台灣企銀-北高雄,高雄市復興一路九十號三樓
111G,臺灣企銀-埔墘,台北縣板橋市中山路2段62號2樓之2
