stock id,yf id
1101,1101.TW
1102,1102.TW
1103,1103.TW
1104,1104.TW
1108,1108.TW
1109,1109.TW
1110,1110.TW
1201,1201.TW
1203,1203.TW
1210,1210.TW
1213,1213.TW
1215,1215.TW
1216,1216.TW
1217,1217.TW
1218,1218.TW
1219,1219.TW
1220,1220.TW
1225,1225.TW
1227,1227.TW
1229,1229.TW
1231,1231.TW
1232,1232.TW
1233,1233.TW
1234,1234.TW
1235,1235.TW
1236,1236.TW
1256,1256.TW
1301,1301.TW
1303,1303.TW
1304,1304.TW
1305,1305.TW
1307,1307.TW
1308,1308.TW
1309,1309.TW
1310,1310.TW
1312,1312.TW
1313,1313.TW
1314,1314.TW
1315,1315.TW
1316,1316.TW
1319,1319.TW
1321,1321.TW
1323,1323.TW
1324,1324.TW
1325,1325.TW
1326,1326.TW
1337,1337.TW
1338,1338.TW
1339,1339.TW
1340,1340.TW
1341,1341.TW
1342,1342.TW
1402,1402.TW
1409,1409.TW
1410,1410.TW
1413,1413.TW
1414,1414.TW
1416,1416.TW
1417,1417.TW
1418,1418.TW
1419,1419.TW
1423,1423.TW
1432,1432.TW
1434,1434.TW
1435,1435.TW
1436,1436.TW
1437,1437.TW
1438,1438.TW
1439,1439.TW
1440,1440.TW
1441,1441.TW
1442,1442.TW
1443,1443.TW
1444,1444.TW
1445,1445.TW
1446,1446.TW
1447,1447.TW
1449,1449.TW
1451,1451.TW
1452,1452.TW
1453,1453.TW
1454,1454.TW
1455,1455.TW
1456,1456.TW
1457,1457.TW
1459,1459.TW
1460,1460.TW
1463,1463.TW
1464,1464.TW
1465,1465.TW
1466,1466.TW
1467,1467.TW
1468,1468.TW
1470,1470.TW
1471,1471.TW
1472,1472.TW
1473,1473.TW
1474,1474.TW
1475,1475.TW
1476,1476.TW
1477,1477.TW
1503,1503.TW
1504,1504.TW
1506,1506.TW
1512,1512.TW
1513,1513.TW
1514,1514.TW
1515,1515.TW
1516,1516.TW
1517,1517.TW
1519,1519.TW
1521,1521.TW
1522,1522.TW
1524,1524.TW
1525,1525.TW
1526,1526.TW
1527,1527.TW
1528,1528.TW
1529,1529.TW
1530,1530.TW
1531,1531.TW
1532,1532.TW
1533,1533.TW
1535,1535.TW
1536,1536.TW
1537,1537.TW
1538,1538.TW
1539,1539.TW
1540,1540.TW
1541,1541.TW
1558,1558.TW
1560,1560.TW
1563,1563.TW
1568,1568.TW
1582,1582.TW
1583,1583.TW
1587,1587.TW
1589,1589.TW
1590,1590.TW
1597,1597.TW
1598,1598.TW
1603,1603.TW
1604,1604.TW
1605,1605.TW
1608,1608.TW
1609,1609.TW
1611,1611.TW
1612,1612.TW
1614,1614.TW
1615,1615.TW
1616,1616.TW
1617,1617.TW
1618,1618.TW
1626,1626.TW
1701,1701.TW
1702,1702.TW
1707,1707.TW
1708,1708.TW
1709,1709.TW
1710,1710.TW
1711,1711.TW
1712,1712.TW
1713,1713.TW
1714,1714.TW
1717,1717.TW
1718,1718.TW
1720,1720.TW
1721,1721.TW
1722,1722.TW
1723,1723.TW
1725,1725.TW
1726,1726.TW
1727,1727.TW
1730,1730.TW
1731,1731.TW
1732,1732.TW
1733,1733.TW
1734,1734.TW
1735,1735.TW
1736,1736.TW
1737,1737.TW
1752,1752.TW
1760,1760.TW
1762,1762.TW
1773,1773.TW
1776,1776.TW
1783,1783.TW
1786,1786.TW
1789,1789.TW
1795,1795.TW
1802,1802.TW
1805,1805.TW
1806,1806.TW
1808,1808.TW
1809,1809.TW
1810,1810.TW
1817,1817.TW
1903,1903.TW
1904,1904.TW
1905,1905.TW
1906,1906.TW
1907,1907.TW
1909,1909.TW
2002,2002.TW
2006,2006.TW
2007,2007.TW
2008,2008.TW
2009,2009.TW
2010,2010.TW
2012,2012.TW
2013,2013.TW
2014,2014.TW
2015,2015.TW
2017,2017.TW
2020,2020.TW
2022,2022.TW
2023,2023.TW
2024,2024.TW
2025,2025.TW
2027,2027.TW
2028,2028.TW
2029,2029.TW
2030,2030.TW
2031,2031.TW
2032,2032.TW
2033,2033.TW
2034,2034.TW
2038,2038.TW
2049,2049.TW
2059,2059.TW
2062,2062.TW
2069,2069.TW
2101,2101.TW
2102,2102.TW
2103,2103.TW
2104,2104.TW
2105,2105.TW
2106,2106.TW
2107,2107.TW
2108,2108.TW
2109,2109.TW
2114,2114.TW
2115,2115.TW
2201,2201.TW
2204,2204.TW
2206,2206.TW
2207,2207.TW
2208,2208.TW
2211,2211.TW
2227,2227.TW
2228,2228.TW
2231,2231.TW
2233,2233.TW
2236,2236.TW
2239,2239.TW
2241,2241.TW
2243,2243.TW
2247,2247.TW
2250,2250.TW
2301,2301.TW
2302,2302.TW
2303,2303.TW
2305,2305.TW
2308,2308.TW
2312,2312.TW
2313,2313.TW
2314,2314.TW
2316,2316.TW
2317,2317.TW
2321,2321.TW
2323,2323.TW
2324,2324.TW
2327,2327.TW
2328,2328.TW
2329,2329.TW
2330,2330.TW
2331,2331.TW
2332,2332.TW
2337,2337.TW
2338,2338.TW
2340,2340.TW
2342,2342.TW
2344,2344.TW
2345,2345.TW
2347,2347.TW
2348,2348.TW
2349,2349.TW
2351,2351.TW
2352,2352.TW
2353,2353.TW
2354,2354.TW
2355,2355.TW
2356,2356.TW
2357,2357.TW
2358,2358.TW
2359,2359.TW
2360,2360.TW
2362,2362.TW
2363,2363.TW
2364,2364.TW
2365,2365.TW
2367,2367.TW
